datetime,hour,day_of_week,is_weekend,route_id,location,weather,rain,traffic_level,is_holiday,previous_passenger_count,passenger_count
2026-01-01 00:00,0,3,0,101,Dehiwala,Clear,0,Low,0,100,44
2026-01-01 01:00,1,3,0,120,Negombo,Clear,0,Low,0,44,49
2026-01-01 02:00,2,3,0,101,Dehiwala,Rain,1,Low,1,49,53
2026-01-01 03:00,3,3,0,101,Colombo,Cloudy,0,Low,0,53,72
2026-01-01 04:00,4,3,0,100,Negombo,Clear,0,Low,0,72,63
2026-01-01 05:00,5,3,0,100,Negombo,Cloudy,0,Low,0,63,52
2026-01-01 06:00,6,3,0,120,Kandy,Rain,1,High,0,52,194
2026-01-01 07:00,7,3,0,176,Moratuwa,Rain,1,High,0,194,214
2026-01-01 08:00,8,3,0,101,Kandy,Clear,0,High,0,214,156
2026-01-01 09:00,9,3,0,176,Colombo,Clear,0,High,0,156,131
2026-01-01 10:00,10,3,0,176,Dehiwala,Rain,1,Medium,0,131,123
2026-01-01 11:00,11,3,0,100,Colombo,Cloudy,0,Medium,0,123,94
2026-01-01 12:00,12,3,0,120,Colombo,Clear,0,Medium,0,94,121
2026-01-01 13:00,13,3,0,176,Moratuwa,Cloudy,0,Medium,0,121,108
2026-01-01 14:00,14,3,0,120,Kandy,Clear,0,Medium,0,108,86
2026-01-01 15:00,15,3,0,100,Dehiwala,Clear,0,Medium,0,86,89
2026-01-01 16:00,16,3,0,138,Kandy,Clear,0,High,0,89,158
2026-01-01 17:00,17,3,0,120,Colombo,Cloudy,0,High,1,158,113
2026-01-01 18:00,18,3,0,138,Moratuwa,Cloudy,0,High,0,113,171
2026-01-01 19:00,19,3,0,120,Dehiwala,Clear,0,High,0,171,154
2026-01-01 20:00,20,3,0,176,Moratuwa,Cloudy,0,Low,0,154,75
2026-01-01 21:00,21,3,0,176,Kandy,Rain,1,Low,0,75,87
2026-01-01 22:00,22,3,0,101,Colombo,Clear,0,Low,0,87,71
2026-01-01 23:00,23,3,0,176,Dehiwala,Clear,0,Low,0,71,40
2026-01-02 00:00,0,4,0,100,Kandy,Cloudy,0,Low,0,40,69
2026-01-02 01:00,1,4,0,138,Dehiwala,Clear,0,Low,0,69,69
2026-01-02 02:00,2,4,0,120,Moratuwa,Clear,0,Low,0,69,56
2026-01-02 03:00,3,4,0,100,Negombo,Rain,1,Low,0,56,89
2026-01-02 04:00,4,4,0,138,Moratuwa,Cloudy,0,Low,0,89,58
2026-01-02 05:00,5,4,0,101,Negombo,Rain,1,Low,0,58,68
2026-01-02 06:00,6,4,0,101,Dehiwala,Cloudy,0,High,0,68,188
2026-01-02 07:00,7,4,0,100,Moratuwa,Clear,0,High,0,188,173
2026-01-02 08:00,8,4,0,120,Colombo,Cloudy,0,High,0,173,179
2026-01-02 09:00,9,4,0,176,Moratuwa,Cloudy,0,High,0,179,126
2026-01-02 10:00,10,4,0,101,Negombo,Clear,0,Medium,0,126,69
2026-01-02 11:00,11,4,0,120,Dehiwala,Rain,1,Medium,0,69,100
2026-01-02 12:00,12,4,0,100,Dehiwala,Clear,0,Medium,0,100,120
2026-01-02 13:00,13,4,0,176,Negombo,Cloudy,0,Medium,0,120,102
2026-01-02 14:00,14,4,0,138,Colombo,Cloudy,0,Medium,0,102,67
2026-01-02 15:00,15,4,0,120,Negombo,Cloudy,0,Medium,0,67,81
2026-01-02 16:00,16,4,0,101,Negombo,Rain,1,High,0,81,269
2026-01-02 17:00,17,4,0,101,Kandy,Cloudy,0,High,0,269,209
2026-01-02 18:00,18,4,0,100,Kandy,Rain,1,High,0,209,153
2026-01-02 19:00,19,4,0,120,Colombo,Clear,0,High,0,153,128
2026-01-02 20:00,20,4,0,100,Colombo,Rain,1,Low,0,128,83
2026-01-02 21:00,21,4,0,138,Moratuwa,Rain,1,Low,0,83,54
2026-01-02 22:00,22,4,0,138,Moratuwa,Cloudy,0,Low,0,54,52
2026-01-02 23:00,23,4,0,138,Moratuwa,Cloudy,0,Low,0,52,44
2026-01-03 00:00,0,5,1,176,Dehiwala,Clear,0,Low,0,44,61
